"Economy","Economy.Code","ISO.Code","Region","Income.Group","Report.Year","WBL.INDEX","MOBILITY","Can.a.woman.choose.where.to.live.in.the.same.way.as.a.man.","Can.a.woman.travel.outside.her.home.in.the.same.way.as.a.man.","Can.a.woman.apply.for.a.passport.in.the.same.way.as.a.man.","Can.a.woman.travel.outside.the.country.in.the.same.way.as.a.man.","WORKPLACE","Can.a.woman.get.a.job.in.the.same.way.as.a.man.","Does.the.law.prohibit.discrimination.in.employment.based.on.gender.","Is.there.legislation.on.sexual.harassment.in.employment.","Are.there.criminal.penalties.or.civil.remedies.for.sexual.harassment.in.employment.","PAY","Does.the.law.mandate.equal.remuneration.for.work.of.equal.value.","Can.a.woman.work.at.night.in.the.same.way.as.a.man.","Can.a.woman.work.in.a.job.deemed.dangerous.in.the.same.way.as.a.man.","Can.a.woman.work.in.an.industrial.job.in.the.same.way.as.a.man.","MARRIAGE","Is.the.law.free.of.legal.provisions.that.require.a.married.woman.to.obey.her.husband.","Can.a.woman.be.head.of.household.in.the.same.way.as.a.man.","Is.there.legislation.specifically.addressing.domestic.violence.","Can.a.woman.obtain.a.judgment.of.divorce.in.the.same.way.as.a.man.","Does.a.woman.have.the.same.rights.to.remarry.as.a.man.","PARENTHOOD","Is.paid.leave.of.at.least.14.weeks.available.to.mothers.","Length.of.paid.maternity.leave","Does.the.government.administer.100.percent.of.maternity.leave.benefits.","Is.there.paid.leave.available.to.fathers.","Length.of.paid.paternity.leave","Is.there.paid.parental.leave.","Shared.days","Days.for.the.mother","Days.for.the.father","Is.dismissal.of.pregnant.workers.prohibited.","ENTREPRENEURSHIP","Does.the.law.prohibit.discrimination.in.access.to.credit.based.on.gender.","Can.a.woman.sign.a.contract.in.the.same.way.as.a.man.","Can.a.woman.register.a.business.in.the.same.way.as.a.man.","Can.a.woman.open.a.bank.account.in.the.same.way.as.a.man.","ASSETS","Do.women.and.men.have.equal.ownership.rights.to.immovable.property.","Do.sons.and.daughters.have.equal.rights.to.inherit.assets.from.their.parents.","Do.male.and.female.surviving.spouses.have.equal.rights.to.inherit.assets.","Does.the.law.grant.spouses.equal.administrative.authority.over.assets.during.marriage.","Does.the.law.provide.for.the.valuation.of.nonmonetary.contributions.","PENSION","Is.the.age.at.which.women.and.men.can.retire.with.full.pension.benefits.the.same.","Is.the.age.at.which.women.and.men.can.retire.with.partial.pension.benefits.the.same.","Is.the.mandatory.retirement.age.for.women.and.men.the.same.","Are.periods.of.absence.due.to.childcare.accounted.for.in.pension.benefits.","match","X","Country.Code","Foreign_direct_investment","agriculture_forestry_value_added","GNI.per.capita","net_barter_terms_of_trade_index","gdp_per_person_employed"
"egypt, arab rep.","EGY","EGY","Middle East & North Africa","Lower middle income",2018,45,50,"Yes","No","No","Yes",75,"No","Yes","Yes","Yes",0,"No","No","No","No",0,"No","No","No","No","No",20,"No",90,"No","No",0,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",40,"Yes","No","No","Yes","No",100,"Yes","Yes","Yes","Yes",TRUE,67,"EGY",3.1,3.07,2760,105.55,56810.05
"el salvador","SLV","SLV","Latin America & Caribbean","Upper middle income",2018,88.8,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",75,"No","Yes","Yes","Yes",80,"Yes","Yes","Yes","Yes","No",80,"Yes",112,"Yes","Yes",3,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",75,"No","Yes","Yes","Yes",TRUE,211,"SLV",1.59,-2.73,3900,97.38,24765.45
"equatorial guinea","GNQ","GNQ","Sub-Saharan Africa","Upper middle income",2018,51.9,75,"No","Yes","Yes","Yes",25,"No","Yes","No","No",100,"Yes","Yes","Yes","Yes",20,"No","Yes","No","No","No",60,"No",84,"Yes","Yes",3,"No",0,0,0,"Yes",0,"No","No","No","No",60,"No","Yes","Yes","No","Yes",75,"Yes","Yes","Yes","No",TRUE,88,"GNQ",-1.1,-2.45,5860,125.37,69595.73
"eritrea","ERI","ERI","Sub-Saharan Africa","Low income",2018,69.4,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",75,"No","Yes","Yes","Yes",60,"Yes","Yes","No","Yes","No",20,"No",60,"No","No",0,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",25,"No","No","Yes","No",TRUE,69,"ERI",2.68,2.73,5715,108.07,39516.06
"estonia","EST","EST","High income: OECD","High income",2018,97.5,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",80,"Yes","Yes","No","Yes","Yes",100,"Yes",140,"Yes","Yes",14,"Yes",435,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,71,"EST",4.02,-10.47,21180,101.01,80758.69
"eswatini","SWZ","SWZ","Sub-Saharan Africa","Lower middle income",2018,43.8,100,"Yes","Yes","Yes","Yes",25,"No","Yes","No","No",50,"No","Yes","Yes","No",20,"Yes","No","No","No","No",20,"No",14,"No","No",0,"No",0,0,0,"Yes",0,"No","No","No","No",60,"Yes","No","No","Yes","Yes",75,"Yes","Yes","Yes","No",TRUE,224,"SWZ",0.67,5.87,3550,99.83,37335.87
"ethiopia","ETH","ETH","Sub-Saharan Africa","Low income",2018,71.9,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",25,"No","Yes","No","No",80,"Yes","Yes","Yes","Yes","No",20,"No",90,"No","No",0,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",75,"Yes","Yes","Yes","No",TRUE,72,"ETH",3.99,3.51,780,91.69,5072.14
"fiji","FJI","FJI","East Asia & Pacific","Upper middle income",2018,74.4,75,"Yes","Yes","No","Yes",100,"Yes","Yes","Yes","Yes",50,"No","Yes","Yes","No",100,"Yes","Yes","Yes","Yes","Yes",20,"No",84,"No","No",0,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",75,"Yes","Yes","Yes","No",TRUE,76,"FJI",8.4,3.68,5680,100.12,35187.85
"finland","FIN","FIN","High income: OECD","High income",2018,97.5,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",80,"Yes",147,"No","Yes",76,"Yes",221,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,75,"FIN",-3.83,-0.82,48210,96.93,123663.38
"france","FRA","FRA","High income: OECD","High income",2018,100,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes",112,"Yes","Yes",15,"Yes",0,180,180,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,77,"FRA",2.78,3.91,41170,96.72,130357.2
"gabon","GAB","GAB","Sub-Saharan Africa","Upper middle income",2018,57.5,50,"No","Yes","No","Yes",75,"No","Yes","Yes","Yes",25,"No","Yes","No","No",20,"No","No","No","Yes","No",80,"Yes",98,"Yes","Yes",3,"No",0,0,0,"Yes",50,"No","Yes","Yes","No",60,"No","Yes","Yes","No","Yes",100,"Yes","Yes","Yes","Yes",TRUE,80,"GAB",8.18,9.49,6610,126.32,82399.38
"gambia, the","GMB","GMB","Sub-Saharan Africa","Low income",2018,69.4,100,"Yes","Yes","Yes","Yes",50,"Yes","Yes","No","No",75,"No","Yes","Yes","Yes",60,"Yes","Yes","Yes","No","No",60,"Yes",180,"No","Yes",14,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",60,"Yes","No","No","Yes","Yes",75,"Yes","Yes","Yes","No",TRUE,86,"GMB",4.9,3.69,670,102.93,8052.84
"georgia","GEO","GEO","Europe & Central Asia","Upper middle income",2018,79.4,100,"Yes","Yes","Yes","Yes",75,"Yes","Yes","Yes","No",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",60,"Yes",183,"Yes","No",0,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",50,"No","Yes","Yes","No",TRUE,82,"GEO",7.28,13.1,4580,106.28,38792.28
"germany","DEU","DEU","High income: OECD","High income",2018,96.9,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes",98,"Yes","Yes",0,"Yes",300,60,60,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,55,"DEU",4.2,-17.6,47490,99.13,121049.84
"ghana","GHA","GHA","Sub-Saharan Africa","Lower middle income",2018,75,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",50,"No","Yes","Yes","No",100,"Yes","Yes","Yes","Yes","Yes",20,"No",84,"No","No",0,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",80,"Yes","Yes","Yes","Yes","No",75,"Yes","Yes","Yes","No",TRUE,83,"GHA",4.44,4.88,2050,110.5,14969
"greece","GRC","GRC","High income: OECD","High income",2018,97.5,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",80,"Yes",119,"Yes","Yes",2,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,89,"GRC",1.9,-2.02,19080,99.39,92101.27
"grenada","GRD","GRD","Latin America & Caribbean","Upper middle income",2018,77.5,75,"Yes","Yes","No","Yes",50,"Yes","Yes","No","No",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",20,"No",90,"No","No",0,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,90,"GRD",15.94,2.89,8750,85.49,39516.06
"guatemala","GTM","GTM","Latin America & Caribbean","Upper middle income",2018,73.8,100,"Yes","Yes","Yes","Yes",25,"Yes","No","No","No",50,"No","Yes","No","Yes",80,"Yes","Yes","Yes","No","Yes",60,"No",84,"Yes","Yes",2,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,92,"GTM",1.26,2.51,4400,99.18,29683.75
"guinea","GIN","GIN","Sub-Saharan Africa","Lower middle income",2018,62.5,75,"No","Yes","Yes","Yes",75,"No","Yes","Yes","Yes",50,"Yes","Yes","No","No",20,"Yes","No","No","No","No",20,"Yes",98,"No","No",0,"No",0,0,0,"No",100,"Yes","Yes","Yes","Yes",60,"Yes","Yes","No","Yes","No",100,"Yes","Yes","Yes","Yes",TRUE,85,"GIN",2.98,5.63,850,107.97,11939.85
"guinea-bissau","GNB","GNB","Sub-Saharan Africa","Low income",2018,40,75,"No","Yes","Yes","Yes",25,"No","Yes","No","No",0,"No","No","No","No",60,"Yes","No","Yes","Yes","No",0,"No",60,"No","No",0,"No",0,0,0,"No",25,"No","Yes","No","No",60,"No","Yes","Yes","No","Yes",75,"Yes","Yes","Yes","No",TRUE,87,"GNB",1.32,-2.24,750,109.09,6846.98
"guyana","GUY","GUY","Latin America & Caribbean","High income",2018,86.9,75,"Yes","Yes","No","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",80,"Yes","Yes","Yes","No","Yes",40,"No",91,"Yes","No",0,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,94,"GUY",24.66,6.63,6240,103.29,39664.49
"haiti","HTI","HTI","Latin America & Caribbean","Lower middle income",2018,61.3,50,"No","Yes","No","Yes",50,"Yes","Yes","No","No",100,"Yes","Yes","Yes","Yes",40,"Yes","Yes","No","No","No",40,"No",84,"Yes","No",0,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",60,"No","Yes","Yes","No","Yes",75,"Yes","Yes","Yes","No",TRUE,100,"HTI",0.64,1.41,1420,98.85,9146.65
"honduras","HND","HND","Latin America & Caribbean","Lower middle income",2018,75,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",50,"No","Yes","No","Yes",80,"Yes","Yes","Yes","Yes","No",20,"No",84,"No","No",0,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",50,"No","Yes","Yes","No",TRUE,97,"HND",5.99,2.63,2280,94.35,14519.77
"hong kong sar, china","HKG","HKG","East Asia & Pacific","High income",2018,89.4,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",40,"No",70,"No","Yes",3,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,96,"HKG",26.83,-1.82,50050,100.13,127894.75
"hungary","HUN","HUN","High income: OECD","High income",2018,93.8,100,"Yes","Yes","Yes","Yes",75,"Yes","Yes","Yes","No",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes",168,"Yes","Yes",7,"Yes",225,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,101,"HUN",-40.09,5.21,14980,101.67,76984.16
"iceland","ISL","ISL","High income: OECD","High income",2018,100,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes",90,"Yes","Yes",90,"Yes",90,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,114,"ISL",-2.37,6.6,72600,93.88,109622.24
"india","IND","IND","South Asia","Lower middle income",2018,68.8,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",0,"No","No","No","No",100,"Yes","Yes","Yes","Yes","Yes",20,"Yes",182,"No","No",0,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",80,"Yes","Yes","Yes","Yes","No",75,"Yes","Yes","Yes","No",TRUE,109,"IND",1.56,2.1,1980,93.31,22281.43
"indonesia","IDN","IDN","East Asia & Pacific","Upper middle income",2018,64.4,100,"Yes","Yes","Yes","Yes",50,"Yes","Yes","No","No",75,"No","Yes","Yes","Yes",40,"Yes","No","Yes","No","No",40,"No",90,"No","Yes",2,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",60,"Yes","No","No","Yes","Yes",75,"Yes","Yes","Yes","No",TRUE,106,"IDN",1.81,3.88,3850,100.56,25967.76
"iran, islamic rep.","IRN","IRN","Middle East & North Africa","Lower middle income",2018,31.3,0,"No","No","No","No",0,"No","No","No","No",50,"No","Yes","No","Yes",0,"No","No","No","No","No",60,"Yes",180,"Yes","Yes",14,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",40,"Yes","No","No","Yes","No",25,"No","Yes","No","No",TRUE,112,"IRN",0.72,-2.28,4880,120.41,50193.1
"iraq","IRQ","IRQ","Middle East & North Africa","Upper middle income",2018,45,25,"No","No","Yes","No",100,"Yes","Yes","Yes","Yes",50,"Yes","No","No","Yes",0,"No","No","No","No","No",20,"Yes",98,"No","No",0,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",40,"Yes","No","No","Yes","No",50,"No","Yes","No","Yes",TRUE,113,"IRQ",-2.15,37.66,4780,136.67,65196.81
"ireland","IRL","IRL","High income: OECD","High income",2018,97.5,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",80,"Yes",182,"Yes","Yes",14,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,111,"IRL",17.42,-13.92,59490,94.32,196626
"israel","ISR","ISR","High income: OECD","High income",2018,80.6,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",50,"Yes","Yes","No","No",60,"Yes","Yes","Yes","No","No",60,"Yes",105,"Yes","No",0,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",75,"No","Yes","Yes","Yes",TRUE,115,"ISR",5.71,-3.86,41520,95.44,97204.23
"italy","ITA","ITA","High income: OECD","High income",2018,94.4,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",80,"Yes","Yes","Yes","Yes","No",100,"Yes",150,"Yes","Yes",4,"Yes",0,180,210,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",75,"No","Yes","Yes","Yes",TRUE,116,"ITA",2.12,1.85,33850,98.55,127358.28
"jamaica","JAM","JAM","Latin America & Caribbean","Upper middle income",2018,68.1,100,"Yes","Yes","Yes","Yes",25,"Yes","No","No","No",50,"No","Yes","Yes","No",100,"Yes","Yes","Yes","Yes","Yes",20,"No",56,"No","No",0,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",75,"Yes","Yes","Yes","No",TRUE,117,"JAM",4.92,4.1,5230,107.11,20951.44
"japan","JPN","JPN","High income: OECD","High income",2018,78.8,100,"Yes","Yes","Yes","Yes",50,"Yes","Yes","No","No",25,"No","Yes","No","No",80,"Yes","Yes","Yes","Yes","No",100,"Yes",98,"Yes","Yes",0,"Yes",0,309,365,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,119,"JPN",0.5,-6.69,41800,97.09,85738.02
"jordan","JOR","JOR","Middle East & North Africa","Lower middle income",2018,31.9,0,"No","No","No","No",0,"No","No","No","No",25,"No","No","Yes","No",20,"No","No","Yes","No","No",20,"No",70,"Yes","No",0,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",40,"Yes","No","No","Yes","No",75,"No","Yes","Yes","Yes",TRUE,118,"JOR",2.2,1.99,4090,98.94,44015.35
"kazakhstan","KAZ","KAZ","Europe & Central Asia","Upper middle income",2018,69.4,100,"Yes","Yes","Yes","Yes",50,"Yes","Yes","No","No",25,"No","Yes","No","No",100,"Yes","Yes","Yes","Yes","Yes",80,"Yes",126,"Yes","No",0,"Yes",309,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",25,"No","No","No","Yes",TRUE,120,"KAZ",0.2,3.8,8070,123.07,70197.64
"kenya","KEN","KEN","Sub-Saharan Africa","Lower middle income",2018,83.8,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",40,"No",90,"No","Yes",14,"No",0,0,0,"Yes",75,"Yes","Yes","No","Yes",80,"Yes","Yes","No","Yes","Yes",75,"Yes","Yes","Yes","No",TRUE,121,"KEN",0.83,5.72,1730,98.37,11873.16
"kiribati","KIR","KIR","East Asia & Pacific","Lower middle income",2018,76.3,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",20,"No",84,"No","No",0,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",40,"No","Yes","Yes","No","No",75,"Yes","Yes","Yes","No",TRUE,124,"KIR",-0.49,2.73,3260,109.11,39516.06
"korea, rep.","KOR","KOR","High income: OECD","High income",2018,85,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",25,"No","Yes","No","No",100,"Yes","Yes","Yes","Yes","Yes",80,"Yes",90,"No","Yes",3,"Yes",0,365,365,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,126,"KOR",0.71,0.15,32740,95.44,86588.76
"kosovo","KSV","KSV","Europe & Central Asia","Upper middle income",2018,91.9,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",60,"Yes",270,"No","Yes",7,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",75,"Yes","Yes","Yes","No",TRUE,261,"XKX",4.04,-10.45,4300,101.01,39516.06
"kuwait","KWT","KWT","Middle East & North Africa","High income",2018,29.4,50,"No","No","Yes","Yes",0,"No","No","No","No",0,"No","No","No","No",20,"No","Yes","No","No","No",0,"No",70,"No","No",0,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",40,"Yes","No","No","Yes","No",50,"No","Yes","Yes","No",TRUE,127,"KWT",-0.02,-3.57,32300,125.13,88569.6
"kyrgyz republic","KGZ","KGZ","Europe & Central Asia","Lower middle income",2018,76.9,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",25,"No","Yes","No","No",100,"Yes","Yes","Yes","Yes","Yes",40,"Yes",126,"No","No",0,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",50,"No","No","Yes","Yes",TRUE,122,"KGZ",1.74,2.6,1220,106.9,14817.69
"lao pdr","LAO","LAO","East Asia & Pacific","Lower middle income",2018,85,100,"Yes","Yes","Yes","Yes",75,"Yes","Yes","Yes","No",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",80,"Yes",105,"Yes","Yes",3,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",50,"No","Yes","Yes","No",TRUE,129,"LAO",7.49,1.27,2470,114.39,19907.51
"latvia","LVA","LVA","High income: OECD","High income",2018,100,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes",112,"Yes","Yes",10,"Yes",309,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,145,"LVA",1.23,-3.63,16560,102.09,72245.47
"lebanon","LBN","LBN","Middle East & North Africa","Lower middle income",2018,52.5,100,"Yes","Yes","Yes","Yes",50,"Yes","Yes","No","No",50,"No","Yes","Yes","No",60,"Yes","Yes","Yes","No","No",20,"No",70,"No","No",0,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",40,"Yes","No","No","Yes","No",25,"No","No","Yes","No",TRUE,130,"LBN",4.84,-1.12,8750,102.35,51851.17
"lesotho","LSO","LSO","Sub-Saharan Africa","Lower middle income",2018,78.1,100,"Yes","Yes","Yes","Yes",75,"Yes","Yes","Yes","No",75,"Yes","Yes","Yes","No",80,"Yes","Yes","No","Yes","Yes",20,"No",84,"No","No",0,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,141,"LSO",1.6,-13.26,1240,92.07,7962.91
"liberia","LBR","LBR","Sub-Saharan Africa","Low income",2018,78.8,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",80,"Yes","Yes","No","Yes","Yes",20,"Yes",98,"No","No",0,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",80,"Yes","Yes","Yes","Yes","No",75,"Yes","Yes","Yes","No",TRUE,131,"LBR",3.77,1.2,620,107.25,3868.83
"libya","LBY","LBY","Middle East & North Africa","Upper middle income",2018,50,75,"Yes","Yes","No","Yes",50,"Yes","Yes","No","No",75,"Yes","Yes","No","Yes",20,"Yes","No","No","No","No",40,"Yes",98,"No","No",0,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",40,"Yes","No","No","Yes","No",25,"No","Yes","No","No",TRUE,132,"LBY",2.68,4.32,11630,123.43,70732.86
"lithuania","LTU","LTU","High income: OECD","High income",2018,93.8,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes",126,"Yes","Yes",30,"Yes",309,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",50,"No","No","Yes","Yes",TRUE,143,"LTU",2.42,-10.71,17470,99.78,84904.32
"luxembourg","LUX","LUX","High income: OECD","High income",2018,100,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes",112,"Yes","Yes",2,"Yes",0,180,180,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,144,"LUX",-117.37,12.32,79770,94.02,280172.27
"madagascar","MDG","MDG","Sub-Saharan Africa","Low income",2018,66.9,75,"Yes","Yes","No","Yes",100,"Yes","Yes","Yes","Yes",25,"No","Yes","No","No",60,"Yes","No","No","Yes","Yes",40,"Yes",98,"No","No",0,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",60,"Yes","No","No","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,151,"MDG",4.45,0.35,490,75.86,3437.9
"malawi","MWI","MWI","Sub-Saharan Africa","Low income",2018,77.5,50,"No","Yes","No","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",20,"No",56,"No","No",0,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",75,"Yes","Yes","Yes","No",TRUE,168,"MWI",0.78,0.3,500,97.36,4805.26
"malaysia","MYS","MYS","East Asia & Pacific","Upper middle income",2018,50,50,"No","No","Yes","Yes",50,"Yes","No","Yes","No",50,"No","Yes","Yes","No",40,"No","Yes","Yes","No","No",0,"No",60,"No","No",0,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",60,"Yes","No","No","Yes","Yes",75,"Yes","Yes","Yes","No",TRUE,169,"MYS",2.31,0.13,10360,97.38,64638.51
"maldives","MDV","MDV","South Asia","Upper middle income",2018,73.8,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",75,"No","Yes","Yes","Yes",60,"Yes","Yes","Yes","No","No",40,"No",60,"No","Yes",3,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",40,"Yes","No","No","Yes","No",75,"Yes","Yes","Yes","No",TRUE,152,"MDV",10.65,4.93,9880,111.16,44151.51
"mali","MLI","MLI","Sub-Saharan Africa","Low income",2018,54.4,50,"No","Yes","No","Yes",25,"Yes","No","No","No",25,"No","Yes","No","No",20,"No","No","No","Yes","No",60,"Yes",98,"Yes","Yes",3,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",80,"Yes","Yes","Yes","Yes","No",100,"Yes","Yes","Yes","Yes",TRUE,158,"MLI",2.74,5.88,800,103.83,7070.96
